"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年5月5日","19.520","19.475","19.680","19.460","0.18K","0.10%"
"2014年5月4日","19.500","19.520","19.585","19.500","-","0.04%"
"2014年5月2日","19.492","19.000","19.600","18.865","0.35K","2.65%"
"2014年5月1日","18.989","19.170","19.170","18.750","0.85K","-0.68%"
"2014年4月30日","19.119","19.435","19.450","19.025","3.11K","-1.89%"
"2014年4月29日","19.488","19.560","19.590","19.305","16.95K","-0.50%"
"2014年4月28日","19.585","19.585","19.585","19.585","0.70K","-0.79%"
"2014年4月27日","19.740","19.725","19.767","19.705","-","0.28%"
"2014年4月25日","19.685","19.695","19.760","19.695","0.03K","0.02%"
"2014年4月24日","19.682","19.100","19.615","19.100","0.02K","1.30%"
"2014年4月23日","19.430","19.430","19.430","19.430","0.15K","0.41%"
"2014年4月22日","19.351","19.395","19.395","19.395","0.00K","0.05%"
"2014年4月21日","19.341","19.341","19.341","19.341","0.00K","-1.06%"
"2014年4月20日","19.548","19.633","19.638","19.528","-","-0.19%"
"2014年4月17日","19.586","19.586","19.586","19.586","0.01K","-0.19%"
"2014年4月16日","19.623","19.600","19.600","19.600","0.00K","0.74%"
"2014年4月15日","19.478","19.480","19.480","19.475","0.01K","-2.61%"
"2014年4月14日","19.999","19.955","19.955","19.955","0.01K","-0.49%"
"2014年4月13日","20.098","20.038","20.138","20.015","-","0.83%"
"2014年4月11日","19.933","20.010","20.010","20.010","0.00K","-0.72%"
"2014年4月10日","20.078","20.215","20.215","20.150","0.04K","1.64%"
"2014年4月9日","19.755","20.050","20.050","19.740","0.03K","-1.43%"
"2014年4月8日","20.042","20.150","20.150","20.050","0.01K","0.76%"
"2014年4月7日","19.891","19.945","19.960","19.945","0.01K","-0.24%"
"2014年4月6日","19.938","19.945","19.955","19.853","-","0.06%"
"2014年4月4日","19.927","19.940","19.940","19.940","0.02K","0.71%"
"2014年4月3日","19.786","19.786","19.786","19.786","0.78K","-1.22%"
"2014年4月2日","20.031","20.031","20.031","20.031","1.91K","1.84%"
"2014年4月1日","19.669","19.669","19.669","19.669","0.21K","-0.33%"
"2014年3月31日","19.734","19.734","19.734","19.734","0.01K","-0.51%"
"2014年3月30日","19.835","19.822","19.853","19.807","-","0.32%"
"2014年3月28日","19.772","19.790","19.880","19.630","0.11K","0.42%"
"2014年3月27日","19.690","19.690","19.690","19.690","0.53K","-0.35%"
"2014年3月26日","19.759","20.000","20.000","19.800","0.11K","-0.98%"
"2014年3月25日","19.955","20.120","20.120","20.055","0.04K","-0.44%"
"2014年3月24日","20.043","20.160","20.160","19.910","0.17K","-1.01%"
"2014年3月23日","20.248","20.290","20.313","20.248","-","-0.19%"
"2014年3月21日","20.286","20.455","20.500","20.305","0.05K","-0.58%"
"2014年3月20日","20.404","20.480","20.480","20.250","0.06K","-1.90%"
"2014年3月19日","20.800","20.775","20.785","20.500","0.08K","-0.17%"
"2014年3月18日","20.836","21.070","21.070","20.655","0.01K","-1.94%"
"2014年3月17日","21.249","21.370","21.390","21.370","0.10K","-1.37%"
"2014年3月16日","21.545","21.493","21.648","21.493","-","0.75%"
"2014年3月14日","21.384","21.220","21.710","21.160","0.08K","1.02%"
"2014年3月13日","21.169","21.185","21.185","21.150","0.07K","-0.75%"
"2014年3月12日","21.328","21.115","21.285","20.945","0.10K","2.62%"
"2014年3月11日","20.784","21.000","21.260","20.790","0.08K","-0.45%"
"2014年3月10日","20.879","20.800","20.885","20.600","0.11K","0.12%"
"2014年3月9日","20.855","20.900","20.928","20.822","-","-0.20%"
"2014年3月7日","20.897","21.475","21.540","20.760","0.22K","-2.99%"
"2014年3月6日","21.542","21.225","21.595","21.100","0.25K","1.43%"
"2014年3月5日","21.239","21.200","21.290","21.160","0.15K","0.24%"
"2014年3月4日","21.188","21.490","21.490","21.010","0.93K","-1.21%"
"2014年3月3日","21.448","21.350","21.680","21.265","0.40K","0.16%"
"2014年3月2日","21.413","21.388","21.418","21.258","-","0.99%"
"2014年2月28日","21.204","21.250","21.390","21.070","1.53K","-0.52%"
"2014年2月27日","21.314","21.245","21.480","20.985","15.92K","0.28%"
"2014年2月26日","21.254","21.254","21.254","21.254","0.75K","-3.21%"
"2014年2月25日","21.960","21.960","21.960","21.960","1.85K","-0.39%"
"2014年2月24日","22.047","22.047","22.047","22.047","0.79K","0.72%"
"2014年2月23日","21.890","21.930","21.935","21.822","-","0.52%"
"2014年2月21日","21.777","21.777","21.777","21.777","1.55K","0.46%"
"2014年2月20日","21.678","21.678","21.678","21.678","0.85K","-0.76%"
"2014年2月19日","21.844","21.835","21.835","21.700","0.13K","-0.21%"
"2014年2月18日","21.891","21.825","21.895","21.815","0.01K","0.28%"
"2014年2月17日","21.830","21.673","21.968","21.543","-","0.70%"
"2014年2月16日","21.678","21.480","21.710","21.475","-","1.25%"
"2014年2月14日","21.411","20.520","21.425","20.520","0.01K","5.03%"
"2014年2月13日","20.385","20.385","20.385","20.385","0.20K","0.27%"
"2014年2月12日","20.331","20.250","20.250","20.250","0.00K","0.93%"
"2014年2月11日","20.143","20.170","20.170","20.170","0.00K","0.22%"
"2014年2月10日","20.099","20.099","19.970","20.099","0.88K","0.37%"
"2014年2月9日","20.025","19.975","20.060","19.975","-","0.53%"
"2014年2月7日","19.920","19.920","19.920","19.920","0.10K","0.06%"
"2014年2月6日","19.908","19.908","19.908","19.908","1.41K","0.62%"
"2014年2月5日","19.785","19.745","20.045","19.745","0.00K","1.97%"
"2014年2月4日","19.402","19.402","19.402","19.402","0.25K","0.07%"
"2014年2月3日","19.389","19.130","19.515","19.090","0.44K","1.52%"
"2014年2月2日","19.098","19.113","19.135","19.065","-","-0.04%"
"2014年1月31日","19.105","19.325","19.325","19.150","0.15K","-0.03%"
"2014年1月30日","19.111","19.670","19.670","19.060","0.09K","-2.16%"
"2014年1月29日","19.533","19.533","19.533","19.533","0.00K","0.26%"
"2014年1月28日","19.483","19.755","19.755","19.755","0.00K","-1.46%"
"2014年1月27日","19.771","19.800","19.800","19.555","0.01K","-1.24%"
"2014年1月26日","20.020","19.935","20.078","19.915","-","1.40%"
"2014年1月24日","19.743","20.160","20.160","20.110","0.00K","-1.22%"
"2014年1月23日","19.986","19.920","20.080","19.920","0.03K","0.89%"
"2014年1月22日","19.809","19.809","19.809","19.809","0.10K","-0.15%"
"2014年1月21日","19.838","20.300","20.310","19.830","0.08K","-2.37%"
"2014年1月20日","20.320","20.335","20.398","20.278","-","-0.06%"
"2014年1月19日","20.333","20.285","20.423","20.285","-","0.33%"
"2014年1月17日","20.267","20.090","20.285","20.090","0.48K","1.21%"
"2014年1月16日","20.025","20.125","20.140","20.035","0.04K","-0.39%"
"2014年1月15日","20.103","20.195","20.195","20.010","0.03K","-0.73%"
"2014年1月14日","20.251","20.310","20.530","20.200","0.02K","-0.54%"
"2014年1月13日","20.361","20.300","20.405","20.300","0.04K","0.70%"
"2014年1月12日","20.220","20.175","20.263","20.173","-","0.09%"
"2014年1月10日","20.201","20.095","20.100","20.075","0.01K","2.74%"
"2014年1月9日","19.663","19.445","19.555","19.440","0.01K","0.74%"
"2014年1月8日","19.518","19.720","19.735","19.370","0.03K","-1.25%"
"2014年1月7日","19.765","20.250","20.250","19.670","0.03K","-1.55%"
"2014年1月6日","20.077","20.240","20.240","20.090","0.02K","-0.20%"
"2014年1月5日","20.118","20.160","20.185","20.110","-","-0.32%"
"2014年1月3日","20.182","20.090","20.090","20.090","0.02K","0.42%"
"2014年1月2日","20.098","20.310","20.320","20.020","0.05K","2.88%"
"2014年1月1日","19.535","19.438","19.545","19.435","-","1.01%"
"2013年12月31日","19.339","18.950","18.950","18.935","0.16K","-1.24%"
"2013年12月30日","19.581","19.835","19.835","19.610","0.08K","-2.73%"
"2013年12月29日","20.130","20.087","20.178","20.083","-","0.58%"
"2013年12月27日","20.013","19.995","20.000","19.955","0.03K","0.64%"
"2013年12月26日","19.885","19.820","19.930","19.820","0.07K","2.22%"
"2013年12月24日","19.453","19.350","19.410","19.350","0.04K","0.39%"
"2013年12月23日","19.378","19.430","19.440","19.390","0.02K","-0.22%"
"2013年12月22日","19.420","19.405","19.438","19.398","-","0.01%"
"2013年12月20日","19.418","19.100","19.370","19.100","0.04K","1.44%"
"2013年12月19日","19.143","19.800","19.830","19.470","0.05K","-4.35%"
"2013年12月18日","20.014","19.900","20.175","19.740","0.05K","1.12%"
"2013年12月17日","19.792","19.840","19.840","19.800","0.08K","-1.28%"
"2013年12月16日","20.049","19.500","20.200","19.455","0.04K","2.21%"
"2013年12月15日","19.615","19.648","19.678","19.612","-","0.29%"
"2013年12月13日","19.559","19.460","19.630","19.415","0.14K","0.81%"
"2013年12月12日","19.402","20.270","20.270","19.405","0.08K","-4.41%"
"2013年12月11日","20.298","20.245","20.400","20.230","0.12K","0.21%"
"2013年12月10日","20.256","19.755","20.315","19.720","0.25K","3.12%"
"2013年12月9日","19.644","19.465","19.890","19.460","0.09K","0.52%"
"2013年12月8日","19.543","19.555","19.612","19.543","-","0.40%"
"2013年12月6日","19.465","19.380","19.590","19.150","0.46K","-0.25%"
"2013年12月5日","19.514","19.605","19.610","19.235","0.40K","-1.31%"
"2013年12月4日","19.774","19.040","19.805","18.845","0.59K","4.01%"
"2013年12月3日","19.011","19.150","19.255","18.980","0.58K","-1.15%"
"2013年12月2日","19.233","19.910","19.910","19.060","1.58K","-3.52%"
"2013年12月1日","19.935","19.988","19.988","19.923","-","-0.23%"
"2013年11月29日","19.981","19.660","20.050","19.600","3.18K","1.17%"
"2013年11月28日","19.750","19.703","19.807","19.653","-","0.60%"
"2013年11月27日","19.633","19.815","20.080","19.585","25.51K","-1.07%"
"2013年11月26日","19.846","19.930","19.930","19.930","0.00K","-0.17%"
"2013年11月25日","19.880","19.880","19.880","19.880","0.00K","0.69%"
"2013年11月24日","19.743","19.833","19.918","19.743","-","-0.57%"
"2013年11月22日","19.856","19.856","19.856","19.856","-","-0.36%"
"2013年11月21日","19.928","19.928","19.928","19.928","-","-0.61%"
"2013年11月20日","20.050","20.135","20.135","20.135","0.01K","-1.36%"
"2013年11月19日","20.326","20.280","20.315","20.255","0.01K","-0.11%"
"2013年11月18日","20.349","20.400","20.400","20.400","0.00K","-1.98%"
"2013年11月17日","20.760","20.767","20.795","20.760","-","0.21%"
"2013年11月15日","20.717","20.717","20.717","20.717","0.00K","0.02%"
"2013年11月14日","20.712","20.760","20.760","20.750","0.01K","1.37%"
"2013年11月13日","20.432","20.650","20.650","20.475","0.01K","-1.62%"
"2013年11月12日","20.768","20.650","20.650","20.650","0.00K","-2.37%"
"2013年11月11日","21.272","21.272","21.335","21.272","0.00K","-0.60%"
"2013年11月10日","21.400","21.438","21.438","21.388","-","0.44%"
"2013年11月8日","21.307","21.320","21.370","21.320","0.02K","-1.53%"
"2013年11月7日","21.639","21.765","21.765","21.380","0.03K","-0.49%"
"2013年11月6日","21.746","21.770","21.780","21.770","0.02K","0.61%"
"2013年11月5日","21.614","21.670","21.670","21.670","0.00K","-0.30%"
"2013年11月4日","21.678","21.640","21.785","21.600","0.01K","-0.78%"
"2013年11月3日","21.848","21.837","21.880","21.828","-","0.20%"
"2013年11月1日","21.804","21.870","21.880","21.795","0.02K","-0.13%"
"2013年10月31日","21.832","22.320","22.355","21.975","0.02K","-4.85%"
"2013年10月30日","22.946","22.480","23.000","22.480","0.03K","2.20%"
"2013年10月29日","22.452","22.330","22.555","22.330","0.01K","-0.20%"
"2013年10月28日","22.498","22.535","22.535","22.455","0.02K","-0.21%"
"2013年10月27日","22.545","22.638","22.638","22.540","-","-0.26%"
"2013年10月25日","22.603","22.400","22.420","22.400","0.01K","-0.80%"
"2013年10月24日","22.786","22.660","22.815","22.660","0.02K","0.90%"
"2013年10月23日","22.582","22.545","22.545","22.545","0.01K","-0.76%"
"2013年10月22日","22.754","22.550","22.550","22.475","0.01K","2.34%"
"2013年10月21日","22.233","22.220","22.225","22.185","0.01K","1.34%"
"2013年10月20日","21.938","21.908","22.008","21.853","-","0.32%"
"2013年10月18日","21.869","21.869","21.869","21.869","-","-0.16%"
"2013年10月17日","21.903","21.880","22.080","21.880","0.00K","2.73%"
"2013年10月16日","21.320","21.320","21.320","21.320","-","0.82%"
"2013年10月15日","21.146","20.720","21.180","20.675","0.01K","-0.77%"
"2013年10月14日","21.310","21.500","21.550","21.500","0.02K","-0.09%"
"2013年10月13日","21.330","21.443","21.470","21.313","-","0.54%"
"2013年10月11日","21.215","21.500","21.550","21.195","0.02K","-2.91%"
"2013年10月10日","21.850","21.950","21.950","21.820","0.03K","0.02%"
"2013年10月9日","21.846","21.845","21.900","21.845","0.01K","-2.46%"
"2013年10月8日","22.397","22.230","22.370","22.230","0.01K","0.26%"
"2013年10月7日","22.339","21.710","21.915","21.710","0.01K","2.41%"
"2013年10月6日","21.813","21.775","21.890","21.775","-","0.50%"
"2013年10月4日","21.705","21.650","21.800","21.650","0.06K","-0.16%"
"2013年10月3日","21.739","21.690","21.690","21.430","0.03K","-0.49%"
"2013年10月2日","21.846","21.145","21.850","21.090","0.07K","3.42%"
"2013年10月1日","21.124","21.665","21.685","20.795","0.07K","-2.46%"
"2013年9月30日","21.656","21.700","21.795","21.645","0.12K","-0.82%"
"2013年9月29日","21.835","21.900","22.100","21.718","-","0.24%"
"2013年9月27日","21.783","21.595","21.825","21.470","0.15K","0.29%"
"2013年9月26日","21.720","21.720","21.720","21.720","0.01K","-0.54%"
"2013年9月25日","21.838","21.590","21.875","21.545","0.04K","1.39%"
"2013年9月24日","21.539","21.825","21.825","21.780","0.08K","-1.22%"
"2013年9月23日","21.805","21.825","21.870","21.355","0.14K","-0.70%"
"2013年9月22日","21.958","21.843","21.960","21.765","-","0.37%"
"2013年9月20日","21.876","22.710","22.710","21.770","0.04K","-5.88%"
"2013年9月19日","23.242","22.840","23.275","22.840","0.15K","8.03%"
"2013年9月18日","21.514","21.645","22.950","21.210","0.14K","-1.02%"
"2013年9月17日","21.735","22.005","22.005","21.710","0.14K","-1.04%"
"2013年9月16日","21.963","22.235","22.250","21.700","0.14K","-1.47%"
"2013年9月15日","22.290","22.438","22.438","22.220","-","2.86%"
"2013年9月13日","21.670","22.095","22.170","21.465","0.06K","-1.94%"
"2013年9月12日","22.099","23.125","23.140","21.870","0.14K","-4.42%"
"2013年9月11日","23.121","22.770","23.170","22.755","0.18K","0.67%"
"2013年9月10日","22.966","23.700","23.700","22.800","0.24K","-2.97%"
"2013年9月9日","23.668","24.000","24.000","23.470","0.31K","-1.09%"
"2013年9月8日","23.930","23.860","24.133","23.850","-","0.37%"
"2013年9月6日","23.842","23.175","23.860","23.165","0.33K","2.74%"
"2013年9月5日","23.206","23.460","23.620","22.995","0.55K","-0.70%"
"2013年9月4日","23.369","24.305","24.375","23.350","0.86K","-4.15%"
"2013年9月3日","24.382","23.200","24.460","23.100","1.13K","0.66%"
"2013年9月2日","24.223","23.318","24.405","23.318","-","3.75%"
"2013年9月1日","23.348","23.458","23.473","23.118","-","-0.49%"
"2013年8月30日","23.463","23.775","24.015","23.385","2.30K","-2.60%"
"2013年8月29日","24.090","24.330","24.415","23.660","19.70K","-1.23%"
"2013年8月28日","24.389","24.985","24.985","24.925","0.00K","-1.05%"
"2013年8月27日","24.649","24.649","24.640","24.649","0.00K","2.67%"
"2013年8月26日","24.008","24.150","24.150","23.950","0.01K","-0.02%"
"2013年8月25日","24.013","24.100","24.335","23.918","-","1.18%"
"2013年8月23日","23.733","23.500","23.755","23.500","0.02K","3.05%"
"2013年8月22日","23.030","22.860","23.035","22.860","0.00K","0.31%"
"2013年8月21日","22.958","23.080","23.305","23.080","0.01K","-0.47%"
"2013年8月20日","23.066","23.066","23.066","23.066","0.00K","-0.41%"
"2013年8月19日","23.161","23.161","23.161","23.161","-","-0.47%"
"2013年8月18日","23.270","23.275","23.322","23.197","-","-0.20%"
"2013年8月16日","23.317","22.960","23.210","22.850","0.01K","1.69%"
"2013年8月15日","22.929","21.890","23.165","21.730","0.08K","5.27%"
"2013年8月14日","21.781","21.625","21.790","21.590","0.01K","2.09%"
"2013年8月13日","21.336","21.470","21.660","21.265","0.01K","0.02%"
"2013年8月12日","21.332","21.195","21.410","21.195","0.02K","2.54%"
"2013年8月11日","20.803","20.693","20.985","20.660","-","1.98%"
"2013年8月9日","20.399","20.399","20.295","20.399","0.03K","1.07%"
"2013年8月8日","20.184","19.985","20.220","19.930","0.01K","3.52%"
"2013年8月7日","19.498","19.498","19.498","19.498","0.03K","-0.09%"
"2013年8月6日","19.515","19.575","19.575","19.460","0.19K","-0.99%"
"2013年8月5日","19.711","19.780","19.780","19.765","0.02K","-0.68%"
"2013年8月4日","19.845","19.833","19.913","19.815","-","-0.29%"
"2013年8月2日","19.903","19.903","19.903","19.903","0.01K","1.47%"
"2013年8月1日","19.615","19.610","19.610","19.610","0.02K","-0.01%"
"2013年7月31日","19.617","19.870","19.885","19.395","0.02K","-0.25%"
"2013年7月30日","19.666","19.800","19.830","19.645","0.11K","-0.95%"
"2013年7月29日","19.854","19.895","20.050","19.865","0.00K","-0.19%"
"2013年7月28日","19.892","19.938","20.008","19.877","-","0.64%"
"2013年7月26日","19.765","20.255","20.290","19.705","0.06K","-1.90%"
"2013年7月25日","20.147","19.830","20.135","19.830","0.06K","0.66%"
"2013年7月24日","20.014","20.380","20.410","19.990","0.08K","-1.15%"
"2013年7月23日","20.246","20.145","20.420","20.145","0.10K","-1.23%"
"2013年7月22日","20.498","19.525","20.520","19.525","0.18K","3.47%"
"2013年7月21日","19.810","19.513","19.895","19.508","-","1.86%"
"2013年7月19日","19.448","19.385","19.465","19.295","0.10K","0.37%"
"2013年7月18日","19.376","19.290","19.430","19.250","0.27K","-0.17%"
"2013年7月17日","19.409","19.930","20.040","19.240","0.26K","-2.58%"
"2013年7月16日","19.923","19.680","19.965","19.675","0.02K","0.49%"
"2013年7月15日","19.826","20.100","20.100","19.670","0.15K","-0.91%"
"2013年7月14日","20.008","19.870","20.133","19.868","-","1.16%"
"2013年7月12日","19.779","20.075","20.135","19.620","0.09K","-0.82%"
"2013年7月11日","19.943","19.500","20.140","19.475","0.22K","4.14%"
"2013年7月10日","19.151","19.230","19.415","19.015","0.17K","0.14%"
"2013年7月9日","19.125","19.035","19.455","18.935","0.22K","0.53%"
"2013年7月8日","19.025","18.920","19.085","18.765","0.30K","1.01%"
"2013年7月7日","18.835","18.848","19.080","18.805","-","0.58%"
"2013年7月5日","18.726","19.710","19.735","18.685","0.31K","-4.07%"
"2013年7月4日","19.520","19.775","19.813","19.383","-","-0.86%"
"2013年7月3日","19.689","19.410","19.850","19.365","0.22K","2.03%"
"2013年7月2日","19.298","19.595","19.755","19.295","0.50K","-1.34%"
"2013年7月1日","19.560","19.485","20.060","19.365","0.56K","-1.62%"
"2013年6月30日","19.883","19.535","20.065","19.535","-","2.22%"
"2013年6月28日","19.451","18.455","19.630","18.185","3.75K","4.95%"
"2013年6月27日","18.533","18.500","18.930","18.335","19.46K","-0.29%"
"2013年6月26日","18.587","18.645","18.645","18.645","0.05K","-4.81%"
"2013年6月25日","19.526","19.660","19.660","19.595","0.01K","0.17%"
"2013年6月24日","19.493","20.055","20.055","19.600","0.01K","-3.36%"
"2013年6月23日","20.170","20.087","20.197","20.042","-","1.06%"
"2013年6月21日","19.958","19.780","20.000","19.720","0.04K","0.69%"
"2013年6月20日","19.822","21.170","21.180","19.590","0.01K","-8.32%"
"2013年6月19日","21.622","21.625","21.625","21.610","0.00K","-0.25%"
"2013年6月18日","21.676","21.676","21.676","21.676","-","-0.37%"
"2013年6月17日","21.757","21.870","21.915","21.870","0.01K","-1.04%"
"2013年6月16日","21.985","22.060","22.060","21.947","-","0.15%"
"2013年6月14日","21.953","22.060","22.070","21.965","0.00K","1.72%"
"2013年6月13日","21.582","21.805","21.805","21.520","0.03K","-0.98%"
"2013年6月12日","21.796","21.760","21.815","21.650","0.04K","0.70%"
"2013年6月11日","21.645","21.580","21.710","21.580","0.10K","-1.26%"
"2013年6月10日","21.921","21.630","21.780","21.535","0.04K","1.12%"
"2013年6月9日","21.678","21.595","21.730","21.388","-","-0.27%"
"2013年6月7日","21.737","22.705","22.705","21.580","0.05K","-4.25%"
"2013年6月6日","22.701","22.330","22.595","22.330","0.01K","1.05%"
"2013年6月5日","22.465","22.455","22.665","22.455","0.07K","0.29%"
"2013年6月4日","22.400","22.630","22.630","22.330","0.06K","-1.39%"
"2013年6月3日","22.715","22.335","22.870","22.305","0.09K","1.55%"
"2013年6月2日","22.368","22.205","22.388","22.203","-","0.63%"
"2013年5月31日","22.228","22.245","22.280","22.140","0.03K","-1.97%"
"2013年5月30日","22.674","22.335","22.930","22.335","0.36K","1.02%"
"2013年5月29日","22.445","22.370","22.370","22.370","0.08K","1.19%"
"2013年5月28日","22.180","22.595","22.595","22.180","0.05K","-1.79%"
"2013年5月27日","22.585","22.340","22.708","22.288","-","1.07%"
"2013年5月26日","22.345","22.360","22.392","22.300","-","-0.61%"
"2013年5月24日","22.482","22.330","22.330","22.330","0.01K","-0.05%"
"2013年5月23日","22.494","22.050","22.360","22.035","0.04K","0.16%"
"2013年5月22日","22.458","22.345","22.660","22.345","0.05K","0.07%"
"2013年5月21日","22.442","22.500","22.515","22.340","0.04K","-0.56%"
"2013年5月20日","22.568","22.280","22.800","21.010","0.13K","5.33%"
"2013年5月19日","21.425","22.255","22.325","20.215","-","-4.09%"
"2013年5月17日","22.339","22.630","22.630","22.160","0.10K","-1.34%"
"2013年5月16日","22.643","22.680","22.710","22.075","0.25K","0.00%"
"2013年5月15日","22.643","23.240","23.240","22.480","0.14K","-3.05%"
"2013年5月14日","23.355","23.220","23.525","23.220","0.06K","-1.33%"
"2013年5月13日","23.670","23.710","23.720","23.490","0.10K","0.01%"
"2013年5月12日","23.668","23.822","23.835","23.653","-","0.15%"
"2013年5月10日","23.632","23.635","23.750","23.140","0.47K","-1.03%"
"2013年5月9日","23.879","24.025","24.055","23.600","0.29K","-0.05%"
"2013年5月8日","23.892","23.830","23.915","23.615","0.11K","0.51%"
"2013年5月7日","23.771","23.970","23.970","23.385","0.60K","-0.61%"
"2013年5月6日","23.918","24.095","24.375","23.845","0.28K","-0.71%"
"2013年5月5日","24.090","24.133","24.153","24.033","-","0.48%"
"2013年5月3日","23.975","23.750","24.300","23.605","0.24K","0.78%"
"2013年5月2日","23.790","23.560","24.000","23.355","1.08K","2.08%"
"2013年5月1日","23.305","24.250","24.275","23.230","1.65K","-3.47%"
"2013年4月30日","24.144","24.505","24.510","23.985","2.04K","0.09%"
"2013年4月29日","24.122","23.970","24.550","23.915","19.71K","0.41%"
"2013年4月28日","24.023","24.065","24.123","23.945","-","1.12%"
"2013年4月26日","23.758","24.095","24.100","23.955","0.01K","-1.58%"
"2013年4月25日","24.140","23.600","24.200","23.600","0.01K","5.74%"
"2013年4月24日","22.829","22.965","22.990","22.965","0.00K","0.07%"
"2013年4月23日","22.813","23.200","23.200","22.790","0.00K","-2.17%"
"2013年4月22日","23.320","23.100","23.435","23.095","0.03K","0.45%"
"2013年4月21日","23.215","23.322","23.322","23.180","-","1.13%"
"2013年4月19日","22.955","23.745","23.770","23.080","0.02K","-1.22%"
"2013年4月18日","23.239","22.600","23.500","22.600","0.00K","-0.27%"
"2013年4月17日","23.301","23.100","23.100","23.100","0.01K","-1.36%"
"2013年4月16日","23.622","23.710","23.755","23.435","0.05K","1.14%"
"2013年4月15日","23.355","24.500","24.640","23.030","0.12K","-9.91%"
"2013年4月14日","25.923","25.913","26.023","25.783","-","-1.52%"
"2013年4月12日","26.322","27.285","27.285","26.085","0.15K","-4.92%"
"2013年4月11日","27.685","27.685","27.685","27.420","0.02K","0.17%"
"2013年4月10日","27.639","27.730","27.730","27.515","0.01K","-0.81%"
"2013年4月9日","27.866","27.360","27.935","27.240","0.05K","2.75%"
"2013年4月8日","27.120","27.235","27.235","27.080","0.03K","-0.48%"
"2013年4月7日","27.250","27.293","27.378","27.237","-","0.18%"
"2013年4月5日","27.201","26.860","27.240","26.845","0.03K","1.69%"
"2013年4月4日","26.748","26.910","26.960","26.705","0.19K","-0.09%"
"2013年4月3日","26.773","27.105","27.210","26.700","0.10K","-1.63%"
"2013年4月2日","27.217","27.900","27.920","27.170","0.01K","-2.49%"
"2013年4月1日","27.913","27.960","27.975","27.855","0.02K","-1.19%"
"2013年3月31日","28.248","28.263","28.345","28.158","-","-0.16%"
"2013年3月28日","28.292","28.720","28.720","28.295","0.01K","-1.00%"
"2013年3月27日","28.577","28.665","28.665","28.120","0.16K","-0.23%"
"2013年3月26日","28.644","28.785","28.785","28.575","0.06K","-0.49%"
"2013年3月25日","28.785","28.460","28.785","28.460","0.06K","0.49%"
"2013年3月24日","28.645","28.693","28.743","28.593","-","-0.07%"
"2013年3月22日","28.666","29.105","29.105","28.595","0.14K","-1.76%"
"2013年3月21日","29.179","28.940","29.190","28.940","0.14K","1.38%"
"2013年3月20日","28.783","28.880","28.880","28.425","0.02K","-0.09%"
"2013年3月19日","28.810","28.840","29.050","28.685","0.25K","-0.11%"
"2013年3月18日","28.841","28.815","29.050","28.685","0.10K","-0.55%"
"2013年3月17日","29.000","28.795","29.108","28.795","-","0.64%"
"2013年3月15日","28.817","28.885","28.890","28.750","0.06K","0.16%"
"2013年3月14日","28.772","28.800","28.800","28.570","0.03K","-0.52%"
"2013年3月13日","28.922","29.030","29.215","28.830","0.07K","-0.72%"
"2013年3月12日","29.131","28.940","29.290","28.840","0.06K","1.11%"
"2013年3月11日","28.812","28.860","28.960","28.720","0.12K","-0.44%"
"2013年3月10日","28.938","28.990","29.010","28.908","-","0.10%"
"2013年3月8日","28.909","28.850","29.190","28.350","0.33K","0.49%"
"2013年3月7日","28.767","28.955","29.040","28.735","0.05K","0.02%"
"2013年3月6日","28.760","28.675","28.995","28.580","0.21K","0.69%"
"2013年3月5日","28.563","28.580","28.995","28.580","0.31K","0.37%"
"2013年3月4日","28.457","28.635","28.700","28.460","0.08K","-0.72%"
"2013年3月3日","28.663","28.675","28.728","28.642","-","0.75%"
"2013年3月1日","28.451","28.485","28.745","27.955","0.95K","0.20%"
"2013年2月28日","28.395","28.955","29.140","28.390","1.52K","-1.89%"
"2013年2月27日","28.943","29.360","29.390","28.830","25.17K","-1.07%"
"2013年2月26日","29.256","29.256","29.256","29.256","-","0.94%"
"2013年2月25日","28.983","28.975","28.990","28.965","0.01K","0.88%"
"2013年2月24日","28.730","28.805","28.815","28.723","-","0.96%"
"2013年2月22日","28.456","28.420","28.455","28.420","0.00K","-0.83%"
"2013年2月21日","28.695","28.445","28.445","28.445","0.00K","0.28%"
"2013年2月20日","28.615","28.740","28.740","28.315","0.01K","-2.71%"
"2013年2月19日","29.413","30.040","30.045","29.450","0.06K","-2.10%"
"2013年2月18日","30.043","29.860","30.145","29.845","-","0.60%"
"2013年2月17日","29.865","29.805","29.870","29.778","-","0.09%"
"2013年2月15日","29.839","30.250","30.250","29.770","0.07K","-1.66%"
"2013年2月14日","30.343","30.985","31.040","30.950","0.07K","-1.66%"
"2013年2月13日","30.854","30.890","30.925","30.890","0.06K","-0.48%"
"2013年2月12日","31.004","30.820","31.080","30.800","0.05K","0.35%"
"2013年2月11日","30.895","31.160","31.175","30.955","0.02K","-1.72%"
"2013年2月10日","31.435","31.450","31.462","31.418","-","0.03%"
"2013年2月8日","31.425","31.450","31.600","31.400","0.05K","0.12%"
"2013年2月7日","31.387","31.485","31.760","31.345","0.03K","-1.49%"
"2013年2月6日","31.861","31.861","31.861","31.861","-","0.01%"
"2013年2月5日","31.859","32.020","32.020","31.670","0.00K","0.50%"
"2013年2月4日","31.700","31.705","31.705","31.690","0.00K","-0.43%"
"2013年2月3日","31.837","31.868","31.883","31.783","-","-0.33%"
